1A1R_C	44
1A34_A	252
1A3R_P	1
1A4T_B	15
1AGF_C	1
1AL2_0	8
1AO7_C	19
1AOT_P	6
1AR8_0	1
1AVP_B	3
1B35_D	8
1BBT_1	40
1BIV_B	1
1BRV_A	3
1C8O_B	3
1D1K_A	80
1DML_B	4
1DTP_A	7
1E27_C	1
1E28_C	5
1EZJ_A	6
1F15_A	13
1FPT_P	1
1FR5_A	357
1FYT_C	8
1G70_B	1
1GZL_D	2
1H15_F	2
1H6W_B	1
1H8A_C	1
1HFF_A	1
1HGV_A	4
1HHG_C	3
1HHH_C	5
1HHI_C	19
1HHJ_C	6
1HOC_C	8
1I1R_B	3
1IFP_A	2
1IM3_D	6
1JD8_A	1
1JMU_G	26
1KA8_A	7
1KVP_A	26
1LJ2_B	12
1LVM_D	2
1LVM_E	1
1M4Q_B	2
1M93_A	5
1MKF_A	10
1NER_A	10
1NG0_A	9
1NOV_A	51
1NS3_D	2
1NYB_A	1
1PD3_B	9
1PER_L	28
1PFS_B	3
1PI7_A	8
1PIV_0	6
1Q94_C	9
1QEY_A	14
1QFQ_B	17
1QGC_5	1
1QLF_C	1
1QLO_A	5
1QO3_P	4
1QOL_A	19
1QPM_A	3
1QVO_C	3
1QXM_A	3
1R45_A	10
1R4G_A	1
1RJY_Q	2
1SHB_B	1
1SP5_I	1
1SVF_C	2
1SVF_D	2
1T6O_B	1
1U6V_A	3
1U8H_C	1
1U8I_C	1
1U8J_C	1
1U8K_C	1
1U8L_C	1
1U8N_C	2
1U8O_C	1
1U8P_C	1
1U8Q_C	1
1U91_C	1
1U92_C	1
1U93_C	1
1U95_C	1
1UF2_B	5
1UXW_C	2
1VSZ_P	5
1VYX_A	15
1W9Z_A	4
1WA7_B	1
1WBX_C	1
1WBZ_Q	2
1WP7_A	51
1XCQ_P	408
1XJ1_A	3
1XYR_5	1
1XYR_7	1
1XYR_8	1
1YXN_A	3
1Z7Z_4	1
1Z7Z_5	1
1Z8Y_I	4
1Z8Y_J	4
2BAI_A	6
2BBD_A	21
2BBZ_A	8
2BGN_W	4
2BGR_Z	2
2BPA_3	3
2BSR_C	1
2BSS_C	6
2BST_C	1
2BVO_C	4
2BVP_C	1
2C0N_A	3
2C7U_C	5
2C9F_S	6
2C9L_Y	15
2CII_C	3
2CO5_A	4
2EDM_A	2
2EF8_B	2
2FIV_A	14
2GEC_A	290
2GP8_A	25
2I9F_A	5
2IEQ_A	102
2IHX_A	2
2IPK_C	1
2JBX_A	7
2JES_B	13
